"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Significance","Label","Comparison","Mean_log2FC"
"Inflammasome","Inflammasome",23,0.286010720174829,0.706258432587812,0.942857142857143,0.942857142857143,0.942857142857143,3645,"tags=26%, list=16%, signal=22%","Il1a/Il1b/Ptgs2/Irf1/Il18/Bcl2","","Inflammasome ","M2_Combo_vs_ADT",-0.0246111121922441
"Aerobic_Glycolysis","Aerobic_Glycolysis",19,0.609127198504246,1.25205867441747,0.173728813559322,0.588865096359743,0.588865096359743,6394,"tags=79%, list=29%, signal=56%","Slc2a1/Pgam2/Pfkp/Pfkl/Slc16a3/Pgam1/Aldoa/Bsg/Pkm/Hk1/Tpi1/Gpi1/Pgk1/Ldha/Pfkm","","Aerobic_Glycolysis ","M2_Combo_vs_NLRP3",0.171210775661257
"M2_polarization","M2_polarization",35,0.491370891517202,1.14374205328338,0.235546038543897,0.588865096359743,0.588865096359743,852,"tags=6%, list=4%, signal=6%","Fn1/Fgl2","","M2_polarization ","M2_Combo_vs_NLRP3",0.116752428850706
"Inflammasome","Inflammasome",23,0.463682285833123,0.996385749530985,0.455531453362256,0.759219088937093,0.759219088937093,4389,"tags=30%, list=20%, signal=24%","Ptgs2/Nlrp3/Ctsl/Pstpip1/Tnfaip3/Tnfsf14/Bcl2","","Inflammasome ","M2_Combo_vs_NLRP3",0.0986024486317014
"M1_polarization","M1_polarization",35,0.347505278492007,0.808872498576457,0.82441113490364,0.991323210412148,0.991323210412147,4546,"tags=43%, list=20%, signal=34%","Il2ra/Il6/Pla1a/Hsd11b1/Edn1/Xaf1/Ak4/Ccl5/Pfkp/Irf7/Tnf/Il7r/Tnfsf10/Slc31a2/Slc7a5","","M1_polarization ","M2_Combo_vs_NLRP3",0.0700294717971532
"Pyroptosis","Pyroptosis",23,0.289687130084625,0.622495482483731,0.991323210412148,0.991323210412148,0.991323210412147,2869,"tags=13%, list=13%, signal=11%","Il6/Elane/Nlrp3","","Pyroptosis ","M2_Combo_vs_NLRP3",0.0235109236023282
"Pyroptosis","Pyroptosis",23,0.531917898592074,1.29901781182648,0.122194513715711,0.610972568578554,0.610972568578554,4854,"tags=39%, list=22%, signal=31%","Elane/Il1a/Il6/Nod1/Il1b/Il18/Gsdme/Nod2/Nlrc4","","Pyroptosis ","M2_NLRP3_vs_ADT",0.286320902776247
"M2_polarization","M2_polarization",35,-0.455997403018956,-1.13109809048151,0.290171606864275,0.725429017160686,0.725429017160686,3541,"tags=34%, list=16%, signal=29%","Hexb/Egr2/Kmt2a/Car2/Fgl2/Cd36/Lpar6/Cxcr4/Msr1/Cel/Hs3st2/Fn1","","M2_polarization ","M2_NLRP3_vs_ADT",-0.316991235595172
"M1_polarization","M1_polarization",35,0.359912982308528,0.967772091231202,0.506925207756233,0.844875346260388,0.844875346260388,5487,"tags=37%, list=25%, signal=28%","Pla1a/Il6/Ccl5/Irf1/Xaf1/Tymp/Vcan/Fas/Slc7a5/Pfkp/Pfkfb3/Hesx1/Slc2a6","","M1_polarization ","M2_NLRP3_vs_ADT",0.123893689337745
"Inflammasome","Inflammasome",23,-0.317892452974124,-0.724844099934121,0.883527454242928,1,1,6341,"tags=43%, list=28%, signal=31%","Ptgs2/Txnip/Ctsb/Tnfsf14/Pstpip1/Tnfaip3/Il18bp/Card6/Nlrp3/Ctsl","","Inflammasome ","M2_NLRP3_vs_ADT",-0.123213560823945
"Aerobic_Glycolysis","Aerobic_Glycolysis",19,0.199491959996867,0.461621527265859,1,1,1,7813,"tags=63%, list=35%, signal=41%","Eno1/Hk1/Pfkp/Tpi1/Slc16a3/Pgk1/Pfkm/Eno3/Slc16a1/Aldoa/Gpi1/Ldha","","Aerobic_Glycolysis ","M2_NLRP3_vs_ADT",0.0216478570665418
